x_m,y_m
-3.350000000000008527e+00,5.400000000000015454e+00
-3.350000000000008527e+00,5.250000000000015987e+00
-3.350000000000008527e+00,5.150000000000014566e+00
-3.350000000000008527e+00,5.000000000000014211e+00
-3.350000000000008527e+00,4.850000000000013856e+00
-3.350000000000008527e+00,4.700000000000013500e+00
-3.350000000000008527e+00,4.550000000000013145e+00
-3.346853146853155270e+00,4.450000000000013500e+00
-3.360023310023318110e+00,4.350000000000012967e+00
-3.380186480186488041e+00,4.250000000000012434e+00
-3.398018648018655608e+00,4.150000000000011902e+00
-3.404195804195811803e+00,4.050000000000012257e+00
-3.400000000000007461e+00,3.950000000000011724e+00
-3.400000000000007461e+00,3.850000000000011191e+00
-3.400000000000007461e+00,3.700000000000011724e+00
-3.400000000000007461e+00,3.600000000000010747e+00
-3.400000000000007461e+00,3.500000000000010658e+00
-3.400000000000007461e+00,3.400000000000009237e+00
-3.400000000000007461e+00,3.300000000000009148e+00
-3.400000000000007461e+00,3.150000000000009237e+00
-3.400000000000007461e+00,3.050000000000008704e+00
-3.400000000000007461e+00,2.900000000000007905e+00
-3.400000000000007461e+00,2.800000000000007816e+00
-3.400000000000007461e+00,2.650000000000007461e+00
-3.400000000000007461e+00,2.550000000000007372e+00
-3.400000000000007461e+00,2.400000000000006573e+00
-3.400000000000007461e+00,2.250000000000006661e+00
-3.400000000000007461e+00,2.150000000000006128e+00
-3.400000000000007461e+00,2.050000000000006040e+00
-3.400000000000007461e+00,1.900000000000005462e+00
-3.400000000000007461e+00,1.800000000000005373e+00
-3.400000000000007461e+00,1.650000000000004796e+00
-3.400000000000007461e+00,1.550000000000004707e+00
-3.400000000000007461e+00,1.400000000000003908e+00
-3.404195804195811803e+00,1.300000000000004263e+00
-3.398018648018655608e+00,1.200000000000004174e+00
-3.380186480186488041e+00,1.100000000000003419e+00
-3.360023310023318110e+00,1.000000000000003553e+00
-3.350000000000008527e+00,9.000000000000027978e-01
-3.344172494172502397e+00,8.000000000000028200e-01
-3.317832167832175827e+00,7.000000000000026201e-01
-3.282167832167840249e+00,6.000000000000021982e-01
-3.255827505827514123e+00,5.000000000000023315e-01
-3.250000000000008882e+00,4.000000000000016320e-01
-3.239976689976698410e+00,3.000000000000014877e-01
-3.224009324009331934e+00,2.000000000000012046e-01
-3.207342657342665326e+00,9.265734265734351660e-02
-3.145337995338002735e+00,-2.552447552447477744e-02
-3.004195804195811448e+00,-5.932400932400843513e-02
-2.900000000000007017e+00,-6.981351981351921476e-02
-2.800000000000006484e+00,-8.997668997668972768e-02
-2.700000000000006395e+00,-1.031468531468531236e-01
-2.600000000000005862e+00,-9.999999999999992228e-02
-2.500000000000005773e+00,-9.685314685314683203e-02
-2.400000000000005684e+00,-1.100233100233097283e-01
-2.300000000000005596e+00,-1.301864801864795196e-01
-2.200000000000005063e+00,-1.480186480186470310e-01
-2.100000000000004974e+00,-1.541958041958030878e-01
-2.000000000000004441e+00,-1.499999999999989675e-01
-1.900000000000004352e+00,-1.499999999999989675e-01
-1.800000000000004263e+00,-1.499999999999989675e-01
-1.700000000000003730e+00,-1.499999999999989675e-01
-1.600000000000003419e+00,-1.499999999999989675e-01
-1.500000000000003109e+00,-1.458041958041947084e-01
-1.400000000000003020e+00,-1.519813519813509872e-01
-1.300000000000002709e+00,-1.740093240093233962e-01
-1.200000000000002398e+00,-1.879953379953376302e-01
-1.100000000000002309e+00,-1.833333333333328763e-01
-1.000000000000001776e+00,-1.600233100233091621e-01
-9.000000000000016875e-01,-1.468531468531457662e-01
-8.000000000000012657e-01,-1.499999999999989675e-01
-7.000000000000010658e-01,-1.499999999999989675e-01
-5.500000000000004885e-01,-1.499999999999989675e-01
-4.000000000000005773e-01,-1.499999999999989675e-01
-2.999999999999997669e-01,-1.499999999999989675e-01
-1.499999999999999112e-01,-1.499999999999989675e-01
-4.999999999999913541e-02,-1.499999999999989675e-01
1.000000000000007550e-01,-1.499999999999989675e-01
2.000000000000015099e-01,-1.468531468531457662e-01
3.000000000000014877e-01,-1.600233100233091621e-01
4.000000000000014655e-01,-1.801864801864796750e-01
5.000000000000022204e-01,-1.980186480186478248e-01
6.000000000000020872e-01,-2.083916083916083628e-01
7.000000000000028422e-01,-1.980186480186478248e-01
8.000000000000028200e-01,-1.801864801864796750e-01
9.000000000000027978e-01,-1.600233100233091621e-01
